Song,Lyrics
One Dance,One more time 'fore I go
One Dance,Higher powers taking a hold on me
One Dance,I need a one dance
One Dance,Got a Hennessy in my hand
One Dance,One more time 'fore I go
One Dance,Higher powers taking a hold on me
One Dance,"Baby, I like your style"
One Dance,Strength and guidance
One Dance,All that I'm wishing for my friends
One Dance,Nobody makes it from my ends
One Dance,I had to bust up the silence
One Dance,You know you gotta stick by me
One Dance,"Soon as you see the text, reply me"
One Dance,I don't wanna spend time fighting
One Dance,"We've got no time, and that's why"
One Dance,I need a one dance
One Dance,Got a Hennessy in my hand
One Dance,One more time 'fore I go
One Dance,Higher powers taking a hold on me
One Dance,I need a one dance
One Dance,Got a Hennessy in my hand
One Dance,One more time 'fore I go
One Dance,Higher powers taking a hold on me
One Dance,Got a pretty girl and she love me long time
One Dance,"Fine like a wine, she love me long time"
One Dance,"Oh, yeah, very long time"
One Dance,"Back up, back up, back up, and whine it"
One Dance,"Back up, back up, and whine it"
One Dance,"Girl, just back up, back up, back up, and whine, girl"
One Dance,"Oh, yes, steady and fine"
One Dance,"Back, up, back up and whine it, mm"
One Dance,"Oh, tell me, I need to know"
One Dance,Where do you wanna go?
One Dance,"'Cause if you're down, I'll take it slow"
One Dance,Make you lose control
One Dance,[Breakdown: Kyla & 
One Dance,Wizkid
One Dance,]
One Dance,"Where, where, where"
One Dance,"Where, where, where, where "
One Dance,(
One Dance,"Oh, yeah, very long time"
One Dance,)
One Dance,"Where, where, where "
One Dance,(
One Dance,"Back up, back up, and wine am, girl"
One Dance,)
One Dance,"Where, where, where, where"
One Dance,'Cause if you're down 
One Dance,(
One Dance,"Back up, back up, and–"
One Dance,)
One Dance,'Cause if you're down 
One Dance,(
One Dance,"Back up, back up, and–"
One Dance,)
One Dance,'Cause if you're down 
One Dance,(
One Dance,"Back up, back up, and–"
One Dance,)
One Dance,[Chorus: Drake & 
One Dance,Kyla
One Dance,]
One Dance,I need a one dance (
One Dance,"Where, where, where"
One Dance,)
One Dance,Got a Hennessy in my hand (
One Dance,"Where, where, where, where"
One Dance,)
One Dance,One more time 'fore I go (
One Dance,Where
One Dance,)
One Dance,Higher powers taking a hold on me (
One Dance,"Where, where, where, where"
One Dance,)
One Dance,I need a one dance
One Dance,Got a Hennessy in my hand
One Dance,One more time 'fore I go
One Dance,Higher powers taking a hold on me
One Dance,"How do you spell ""Hennessy?"""
One Dance,"I put two ""N""s and two ""S""es, is it like that? Hen... Henn... Henn..."
One Dance,It's definitely not showing up
One Dance,"I know ""Hennessy"" has two ""S""es for sure, so I'm gonna take out one of the ""N""s"
Hold On Were Going Home,227 Contributors
Hold On Were Going Home,Translations
Hold On Were Going Home,Español
Hold On Were Going Home,Français
Hold On Were Going Home,"Hold On, We’re Going Home Lyrics"
Hold On Were Going Home,I got my eyes on you
Hold On Were Going Home,You're everything that I see
Hold On Were Going Home,"I want your heart, love and emotion endlessly"
Hold On Were Going Home,I can't get over you
Hold On Were Going Home,You left your mark on me
Hold On Were Going Home,I want your hot love and emotion endlessly
Hold On Were Going Home,'Cause you're a good girl and you know it
Hold On Were Going Home,You act so different around me
Hold On Were Going Home,'Cause you're a good girl and you know it
Hold On Were Going Home,I know exactly who you could be
Hold On Were Going Home,"Just hold on, we're going home"
Hold On Were Going Home,"Just hold on, we're going home"
Hold On Were Going Home,It's hard to do these things alone
Hold On Were Going Home,"Just hold on, we're going home"
Hold On Were Going Home,Home
Hold On Were Going Home,I got my eyes on you
Hold On Were Going Home,You're everything that I see
